num_topics,coherence,silhouette,num_tokens,ngram_range,min_topic_size,n_neighbors,n_components
61,0.39856048911641373,-0.028953208,5,"(1, 1)",10,12,2
47,0.4219087715989442,-0.025793133,5,"(1, 1)",10,12,6
4,0.4344322974685406,-0.0020130733,5,"(1, 1)",10,16,2
45,0.41262666939547565,-0.025363673,5,"(1, 1)",10,16,6
5,0.393699252191914,-0.008382971,5,"(1, 1)",13,4,2
46,0.4255622419092148,-0.029568328,5,"(1, 1)",13,4,6
3,0.4150666473942362,0.002408731,5,"(1, 1)",13,8,2
42,0.4162329066602073,-0.024863366,5,"(1, 1)",13,8,6
3,0.404799268296292,0.0071220463,5,"(1, 1)",13,12,2
35,0.4030171082645017,-0.025422204,5,"(1, 1)",13,12,6
3,0.40667206122625504,0.007620507,5,"(1, 1)",13,16,2
37,0.40587903923738994,-0.024924204,5,"(1, 1)",13,16,6
5,0.3626762235712121,-0.008941881,5,"(1, 1)",15,4,2
3,0.35929491213705617,-0.0012023808,5,"(1, 1)",15,4,6
3,0.45149824477794515,0.001421572,5,"(1, 1)",15,8,2
33,0.4097590003144506,-0.025224369,5,"(1, 1)",15,8,6
3,0.4094443624727165,0.005593361,5,"(1, 1)",15,12,2
30,0.41696653075977264,-0.024707612,5,"(1, 1)",15,12,6
3,0.399987894108692,0.00635602,5,"(1, 1)",15,16,2
34,0.4097493524022923,-0.028468067,5,"(1, 1)",15,16,6
5,0.39530067040015043,-0.008002915,5,"(1, 1)",18,4,2
21,0.41000567514027797,-0.024071151,5,"(1, 1)",18,4,6
4,0.37086241202395687,-0.005751297,5,"(1, 1)",18,8,2
24,0.4315867537258689,-0.027602531,5,"(1, 1)",18,8,6
3,0.41663415248198127,0.0025028714,5,"(1, 1)",18,12,2
23,0.43933528253205767,-0.02128566,5,"(1, 1)",18,12,6
3,0.4418507910453499,0.0038639328,5,"(1, 1)",18,16,2
28,0.40119670585482464,-0.027499486,5,"(1, 1)",18,16,6
3,0.3944791314560874,0.003470464,5,"(1, 1)",20,4,2
18,0.40531827201218373,-0.02070208,5,"(1, 1)",20,4,6
4,0.413279025157436,-0.0055388603,5,"(1, 1)",20,8,2
18,0.4298863118172837,-0.019076733,5,"(1, 1)",20,8,6
3,0.4305325681420628,0.0015916905,5,"(1, 1)",20,12,2
22,0.42294587863037286,-0.019809816,5,"(1, 1)",20,12,6
3,0.45824154834351893,0.002576544,5,"(1, 1)",20,16,2
21,0.41802897971336733,-0.027867634,5,"(1, 1)",20,16,6
62,0.4409510503008082,-0.022345182,5,"(1, 2)",10,4,2
57,0.44350468823469213,-0.02616192,5,"(1, 2)",10,4,6
72,0.4268302410818204,-0.03408356,5,"(1, 2)",10,8,2
54,0.4398968340872174,-0.022877777,5,"(1, 2)",10,8,6
61,0.4118521721813181,-0.028953208,5,"(1, 2)",10,12,2
47,0.46163475872995774,-0.025793133,5,"(1, 2)",10,12,6
4,0.4569052931581889,-0.0020130733,5,"(1, 2)",10,16,2
45,0.4443875078280745,-0.025363673,5,"(1, 2)",10,16,6
5,0.3743353827045432,-0.008382971,5,"(1, 2)",13,4,2
46,0.44808659255145405,-0.029568328,5,"(1, 2)",13,4,6
3,0.3978823585078695,0.002408731,5,"(1, 2)",13,8,2
42,0.454777612286628,-0.024863366,5,"(1, 2)",13,8,6
3,0.404799268296292,0.0071220463,5,"(1, 2)",13,12,2
35,0.4224267007294202,-0.025422204,5,"(1, 2)",13,12,6
3,0.4502572240222747,0.007620507,5,"(1, 2)",13,16,2
37,0.4458313524490118,-0.024924204,5,"(1, 2)",13,16,6
5,0.3634212510530763,-0.008941881,5,"(1, 2)",15,4,2
3,0.41148412226738357,-0.0012023808,5,"(1, 2)",15,4,6
3,0.4216203405762517,0.001421572,5,"(1, 2)",15,8,2
33,0.44555953217588407,-0.025224369,5,"(1, 2)",15,8,6
3,0.4094443624727165,0.005593361,5,"(1, 2)",15,12,2
30,0.4348872866598624,-0.024707612,5,"(1, 2)",15,12,6
3,0.3653229658872798,0.00635602,5,"(1, 2)",15,16,2
34,0.43361514738150586,-0.028468067,5,"(1, 2)",15,16,6
5,0.3793900883891426,-0.008002915,5,"(1, 2)",18,4,2
21,0.42994540049823576,-0.024071151,5,"(1, 2)",18,4,6
4,0.3722913557002683,-0.005751297,5,"(1, 2)",18,8,2
24,0.43437504433185997,-0.027602531,5,"(1, 2)",18,8,6
3,0.4166341524819812,0.0025028714,5,"(1, 2)",18,12,2
23,0.4505914267019832,-0.02128566,5,"(1, 2)",18,12,6
3,0.46735444852874514,0.0038639328,5,"(1, 2)",18,16,2
28,0.440403706814018,-0.027499486,5,"(1, 2)",18,16,6
3,0.3944791314560873,0.003470464,5,"(1, 2)",20,4,2
18,0.4074216368929411,-0.02070208,5,"(1, 2)",20,4,6
4,0.39462413963119924,-0.0055388603,5,"(1, 2)",20,8,2
18,0.4465091074057065,-0.019076733,5,"(1, 2)",20,8,6
3,0.4305325681420628,0.0015916905,5,"(1, 2)",20,12,2
22,0.432582761605102,-0.019809816,5,"(1, 2)",20,12,6
3,0.46792136953707403,0.002576544,5,"(1, 2)",20,16,2
21,0.4214594685461987,-0.027867634,5,"(1, 2)",20,16,6
66,0.40083129629235537,-0.029871827,6,"(1, 1)",10,4,2
68,0.4168985166855742,-0.030654075,6,"(1, 1)",10,4,6
51,0.40049863662886764,-0.025171526,6,"(1, 1)",10,8,2
